ID,Título,Criado em,Fase Atual,Etiquetas,Placa do Carro-Template,Litros Usados,Tipo Combustivel,Cliente,Ordem de Serviço,Fornecedor Final,Número Nota,Valor da Nota Fiscal,Recibo/Nota fiscal Fornecedor,Valor cobrado do cliente,Id requisição,Forncedor Final,Valor da Requisição,Número Nota Fiscal,Recibo/Nota Fiscal do Fornecedor,UTILIZADO PARA MANUTENÇÃO DE ALGO DA OFICINA,Observação (Opcional),SOLICITANTE,RESPONSÁVEL PELO CARRO,Veiculos,Hodometro,VALOR DA NOTA,Nº DA NOTA,FORNECEDOR,AUTORIZADO POR,Tipo de requisição,Tipo Veicular,Categoria
1285332407,REVISÃO CARRO TKY6E68,21/01/2026,Despesa- Concluida,Consumo Oficina,TKY6E68,,,,,,,,,,1285332407,Volkswagen,"1.000,00",16537,"https://app.pipefy.com/storage/v1/signed/uploads/02baca76-1bbe-4cf8-a80e-85731d40acc9/NF016537.jpeg?expires_on=1772801601&signature=ECdGOU%2FGWIHFwEbp30CS8hiDmW4C%2FSnHqS9TKK2gWXA%3D, https://app.pipefy.com/storage/v1/signed/uploads/e326c9cd-5430-47af-8143-659cc90985f0/BOLETOREVISOTKY6E68.jpeg?expires_on=1772801601&signature=7Eays2GQmL3nM%2FfXp2oCKbRY8Sfe3WqkPvLmNDvb4tA%3D",,,,,TKY6E68,31373,,,,,Veicular,Manutenção,
1285862877,ENDIREITAR COM AJUDA DA PRENSA E TORNO EIXO DA BOMBA,22/01/2026,Despesa- Concluida,Consumo Oficina,,,,,,,,,,,1285862877,Rodrigo Torneiro,120,145,https://app.pipefy.com/storage/v1/signed/uploads/f9ca6b52-587b-4583-a920-e9e6f46368db/WhatsAppImage2026-01-22at14.29.43.jpeg?expires_on=1772801601&signature=66dphiPt7VGcFGMc3CNoXT8vWwr1Lko9aumsezZiU4U%3D,,"GARANTIA PARA O ZI
PEÇAS PAGA PELA FABRICA ANDRADE, MÃO DE OBRA NÓS PAGAMOS
OS: 4364",,,,,,,,,Serviço de Terceiro,,
1285873647,SACAR 2 PARAFUSOS COLETOR DO CAMINHÃO MULK,22/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1285873647,Rodrigo Torneiro,90,147,https://app.pipefy.com/storage/v1/signed/uploads/a84f1296-baac-4b6a-a1c9-40010381707d/WhatsAppImage2026-01-22at14.38.16.jpeg?expires_on=1772801601&signature=11HlxBMxPnOQbMK%2Bl8lLkmWm1AVIiF%2Fl9mMxbJwthVA%3D,,Requisição criada pelo pós-vendas,,,,,,,,,Serviço de Terceiro,,
1229492645,Serviço de fazer serviço no terminal de direção do 6075E,07/10/2025,Despesa- Concluida,Consumo Oficina,,,,,,,,,,,1229492645,Rodrigo Torneiro,180,130,https://app.pipefy.com/storage/v1/signed/uploads/9661ffc7-5d3c-407a-936e-a2678040e0e6/nf130.pdf?expires_on=1772801601&signature=xt%2BUhQ4QQuAV3bOpt9PCEPUnhgCDuQLtktJ0cg0OMsY%3D,,,,,,,,,,,Serviço de Terceiro,,
1285959580,BARRA ESTABILIZADORA PARA CONJUNTO FRONTAL,22/01/2026,Despesa- Concluida,Consumo Oficina,,,,,,,,,,,1285959580,Rodrigo Torneiro,320,130,https://app.pipefy.com/storage/v1/signed/uploads/604695e5-854a-44df-bfdc-9f12b0b1cb3c/nf130.pdf?expires_on=1772801601&signature=P9l37ZDcVmTSJ4ncO0Rzoae%2BUDhnGsH4zNAUKs%2BcV%2FA%3D,,,,,,,,,,,Serviço de Terceiro,,
1285989708,CORAL CORALIT FACHADA,22/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1285989708,Magic Tintas,320,55014,https://app.pipefy.com/storage/v1/signed/uploads/7f76cd67-0922-4ad5-be51-1c9f79dea998/WhatsAppImage2026-01-22at16.22.14.jpeg?expires_on=1772801601&signature=oeb6gDANBiJlmuE%2BJ94kYp0hrFLtrPHRTeSbvDYvJkM%3D,,,,,,,,,,,Ferramenta,,
1285993566,PARA PINTAR FACHADA,22/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1285993566,Magic Tintas,"357,7",55099,https://app.pipefy.com/storage/v1/signed/uploads/6c616483-d92a-4ec1-9abf-8481c69fad76/WhatsAppImage2026-01-22at16.22.141.jpeg?expires_on=1772801601&signature=RAmfjmT1azCqZU3Oz7xNqgSqmTV85lkjjlWdeM88nMI%3D,,,,,,,,,,,Ferramenta,,
1286036315,COMPRA DE MATERIAIS DE PINTURA E POLIMENTO,22/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1286036315,Magic Tintas,"672,57",55145,https://app.pipefy.com/storage/v1/signed/uploads/632088f3-2130-4bfb-adcc-0375e8d032d3/WhatsAppImage2026-01-22at14.03.58.jpeg?expires_on=1772801601&signature=ISaTuG6m1NcpJmPXOrTL%2BHo%2Btl3P0yWYBPFLiaN9aUs%3D,,,,,,,,,,,Ferramenta,,
1286682927,"MANGUEIRA, TRATOR PEGANDO AR",23/01/2026,Despesa- Concluida,Consumo Oficina,,,,,,,,,,,1286682927,Alex,"148,6",,https://app.pipefy.com/storage/v1/signed/uploads/69049ac6-d979-4c6f-ab54-44ad113d734a/5cac3922.ReqFotoNota.204118.jpg?expires_on=1772801601&signature=vIDkP8rHiR3XpMrP%2B8ZwU7YlOB0qjA55ObgvaMKLyD4%3D,,,,,,,,,,,Peça,,
1286697240,ABASTECIMENTO CARRO JOSÉ ANGELO,23/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1286697240,Auto Posto 2001,"152,64",81221,https://app.pipefy.com/storage/v1/signed/uploads/713ba9de-1fc9-4074-a793-14079adfd012/529b8657.ReqFotoNota.182156.jpg?expires_on=1772801601&signature=inYUd4pAfVnVz3bCEXf%2FsSUEMumh12ZRDuCXFV0lWsI%3D,,,,,,0,,,,,Veicular,Abastecimento,
1286804342,4 MONTAGEM DE PNEUS,23/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1286804342,Favaro Pneus,80,490,https://app.pipefy.com/storage/v1/signed/uploads/f578a4b3-df03-4909-8e75-40b43a3155d4/NF490.jpeg?expires_on=1772801601&signature=SvJVU%2B6I%2BUjTpQQMrOY%2BceTgBAZ1ZgWwL47xFfPSLmI%3D,,,,,,,,,,,Serviço de Terceiro,,
